SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4007308,4348291,4092820,4010203,4306680,4972886,5737378,4066994,4004086,4994491,4069317,4133271,4338167,4714599,4989802,4101861,5144759,6863895,7192475,4206401,5992950,6950796,4150067,4074390,4072680,4412084,4388431,8581385,25869381,4004350,4001616,5330448,7682850,4068060,4896737,4121470,4040823,4977218,4004341,4619073,4773271,4111501,4968132,5155441,4057056,4914509,10721065,4144672,4981251,113873,4275565,4992262,108009705,4004201,19230515,4010641,4773655,5730751,6623431,4095387,4350960,4990439,4996606,20085583,4283738,105223,4355113,29724772,4547508,4275772,4004136,4999128,4120239,4398514,4100855,4004318,4121199,14345870,4004104,4914124,4970781,4095638,4987965,4069640,4982229,105135,114744693,4352316,4989735,4087349,110714273,4280272,4987518,6675493,4385530,4069910,4021829,4812824,4915902,5931488,10836633,4066321,4910566,9037983,4014547,4355493,4010846,101477040,4041363,4210825,4010841,4095757,4987464,6331267,4864143,4911452,4980858,4995500,9385215,4135999,4976675,4001600,4968196,4070675,10303371,4915603,4884928,4064204,4228223,138815179,4107956,4987606,4011157,4242781,4057229,4011165,4001764
,,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023,FQ12023
,,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,Current/Restated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Ended,275657,3/31/2023,9/30/2022,3/31/2023,3/31/2023,9/30/2022,3/31/2023,,4/1/2023,3/31/2023,3/31/2023,4/30/2022,12/31/2022,3/31/2023,9/30/2022,3/31/2023,8/28/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,3/31/2023,3/31/2023,3/31/2023,,4/1/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,7/31/2022,,3/31/2023,3/31/2023,5/31/2022,6/30/2022,9/30/2022,3/31/2023,4/1/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,,6/30/2022,4/2/2023,9/30/2022,,9/30/2022,,3/31/2023,1/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,5/21/2022,,4/30/2022,3/31/2023,3/31/2023,4/29/2022,3/31/2023,7/31/2022,4/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,2/28/2023,4/1/2023,7/31/2022,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,11/30/2022,9/30/2022,3/31/2023,3/31/2023,3/31/2023,,8/31/2022,3/31/2023,3/31/2023,3/31/2023,4/2/2023,3/31/2023,3/31/2023,9/30/2022,3/31/2023,3/31/2023,12/31/2022,3/31/2023,3/31/2023,3/31/2023,12/31/2022,4/29/2022,3/31/2023,9/30/2022,3/31/2023,10/1/2022,3/31/2023,,2/3/2023,3/31/2023,3/31/2023,6/30/2022,3/31/2023,3/31/2023,
Financial Filing Date,309159,5/6/2024,3/18/2024,5/3/2024,8/2/2024,2/21/2024,5/13/2024,,5/2/2024,4/24/2024,5/13/2024,6/2/2023,2/1/2024,8/5/2024,2/20/2024,5/8/2024,10/5/2023,4/24/2024,4/19/2023,5/30/2024,5/9/2024,4/26/2024,,4/24/2024,4/30/2024,4/25/2024,,5/9/2024,5/12/2023,2/22/2024,8/5/2024,5/2/2024,5/9/2024,9/23/2024,4/25/2024,5/14/2024,5/7/2024,4/22/2024,5/7/2024,4/24/2024,7/18/2024,2/21/2024,5/9/2024,9/12/2023,,5/2/2024,5/15/2024,11/6/2023,7/27/2023,2/21/2024,4/25/2024,5/9/2024,4/24/2024,4/30/2024,5/2/2024,8/30/2024,4/24/2024,8/29/2023,,8/12/2022,5/1/2024,3/14/2024,,2/22/2024,,5/2/2024,2/28/2024,5/29/2024,8/8/2023,4/25/2024,4/19/2024,6/23/2023,,6/1/2023,4/30/2024,8/8/2024,6/1/2023,4/26/2024,9/28/2023,6/6/2023,5/14/2024,5/10/2024,5/8/2024,5/15/2024,8/2/2023,9/16/2024,7/26/2024,10/15/2024,5/16/2024,8/30/2023,4/25/2024,6/4/2024,5/2/2024,12/12/2023,8/21/2024,5/2/2024,4/25/2024,4/24/2024,6/13/2024,7/24/2024,2/21/2024,5/13/2024,4/26/2024,4/11/2024,2/19/2024,4/24/2024,5/28/2024,5/1/2024,,9/12/2023,5/31/2023,5/7/2024,5/10/2024,5/9/2024,4/23/2024,4/20/2023,3/4/2024,4/25/2024,5/10/2024,5/28/2024,4/23/2024,5/15/2024,4/23/2024,1/25/2024,6/5/2023,5/27/2024,2/29/2024,5/8/2024,11/1/2023,4/26/2024,,3/7/2024,7/24/2023,4/25/2024,8/9/2023,4/25/2024,5/6/2024,
Spot Exchange Rate,275660,1.000000,0.644247,1.000000,1.000000,0.644247,0.232196,NA,1.000000,1.000000,0.029357,1.000000,1.000000,0.752021,0.644247,0.232196,1.000000,0.096568,0.000043,0.739093,1.000000,0.000067,NA,1.000000,1.000000,1.000000,NA,1.000000,1.086484,0.644247,1.000000,1.000000,0.029357,1.086484,1.000000,1.086484,1.000000,1.000000,1.000000,1.000000,1.086484,0.644247,1.000000,0.780238,NA,1.000000,0.232196,0.064017,1.000000,0.644247,1.000000,1.000000,1.000000,1.000000,1.000000,0.670556,1.000000,1.086484,NA,0.012655,1.000000,0.644247,NA,1.114293,NA,1.000000,1.000000,0.739093,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.780238,1.000000,0.029357,0.219578,1.000000,0.232196,1.000000,0.626370,1.000000,0.029357,0.739093,0.226963,1.000000,0.734986,1.000000,1.216737,0.670556,1.000000,1.000000,1.000000,1.409046,0.000043,0.644247,1.086484,1.000000,0.058939,0.644247,1.000000,0.739093,1.000000,NA,1.000000,1.086484,1.000000,1.000000,1.000000,1.000000,0.000043,0.055504,1.000000,0.029357,0.679671,1.000000,1.000000,1.000000,0.143678,1.000000,0.739093,0.644247,1.000000,1.000000,1.000000,NA,1.000000,0.000043,1.000000,1.000000,1.000000,1.000000,NA
Average Exchange Rate,275661,1.000000,0.683194,1.000000,1.000000,0.683194,0.227851,NA,1.000000,1.000000,0.029476,1.000000,1.000000,0.750276,0.683194,0.227851,1.000000,0.095790,0.000042,0.739372,1.000000,0.000066,NA,1.000000,1.000000,1.000000,NA,1.000000,1.072944,0.683194,1.000000,1.000000,0.029476,1.072944,1.000000,1.072944,1.000000,1.000000,1.000000,1.000000,1.072944,0.683194,1.000000,0.777302,NA,1.000000,0.227851,0.065444,1.000000,0.683194,1.000000,1.000000,1.000000,1.000000,1.000000,0.683553,1.000000,1.072944,NA,0.012952,1.000000,0.683194,NA,1.176689,NA,1.000000,1.000000,0.739372,1.000000,1.000000,1.000000,1.000000,NA,1.000000,1.000000,1.000000,1.000000,1.000000,0.777302,1.000000,0.029476,0.218108,1.000000,0.227851,1.000000,0.629559,1.000000,0.029476,0.739372,0.229876,1.000000,0.741225,1.000000,1.225432,0.683553,1.000000,1.000000,1.000000,1.408834,0.000042,0.683194,1.072944,1.000000,0.056496,0.683194,1.000000,0.739372,1.000000,NA,1.000000,1.072944,1.000000,1.000000,1.000000,1.000000,0.000042,0.058719,1.000000,0.029476,0.657581,1.000000,1.000000,1.000000,0.137384,1.000000,0.739372,0.683194,1.000000,1.000000,1.000000,NA,1.000000,0.000042,1.000000,1.000000,1.000000,1.000000,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Short-term Investments,268525,"10,000","3,996","31,561,000","154,000","434,706",10,NA,"205,554","14,743,000","226,318","651,000","612,000","49,968","4,389","786,131","67,400","12,947","2,450",827,"18,838","26,687",NA,"173,900","675,000","17,146",NA,"201,587","126,454","10,590","1,469,000","1,898,000","2,407","9,732","272,426","137,272","544,000","232,500","193,970","2,127,262","538,896","70,241","330,000","28,603",NA,"522,000",341,"5,749","68,281","9,288","28,623,000","127,111","672,800","2,324,000","1,146,000","9,060","1,879,000","5,303,129",NA,"1,815,666","372,800","108,951",NA,"213,276",NA,"938,000","1,769,000","2,471","1,871,000","204,000","424,000","1,382,000",NA,"646,000","42,966","2,951,000","4,043,000","11,674,000",989,"672,000","236,428","25,977","3,708,100",116,"2,233,000","103,000","3,969,000",759,"5,067",450,"3,913,000","3,657","1,022,000","28,427",695,"141,560","2,495,000","552,000",211,"8,893","91,539","319,720","271,000","31,579","63,958","757,000","3,539","681,000",NA,"11,220,000","99,092","1,165,000","597,000","30,783","324,300",537,"41,875","1,226,871","529,195","1,684","227,633","164,655","5,893,000","13,142","56,000","4,589",11,"82,085","437,670","796,000",NA,"174,037","1,429","5,521,000","221,520","2,351,000","477,000",NA
"Net Property, Plant & Equipment",268541,"31,735,000","16,476","5,460,000","9,179,000","6,769,359",4,NA,"579,451","10,493,000","369,109","2,117,000","6,247,000","324,529",101,"151,551","2,704,600","2,871","2,523",951,"45,692","64,551",NA,"2,095,400","27,617,000","7,356,320",NA,"1,902,544","121,635","1,882","34,782,000","64,625,000","18,142","2,421","1,011,707","59,886","113,961,000","1,654,500","1,090,738","18,233,700","183,616","8,610","80,817,000","46,632",NA,"70,117,000","2,683","473,816","1,661,124","64,983","38,680,000","225,657","580,600","2,327,000","15,137,000",1,"5,339,000","10,185,246",NA,NA,"509,100","138,373",NA,"229,322",NA,"28,085,000","4,006,000","2,506","3,824,000","3,372,000","35,639,000","30,969,000",NA,"10,014,000","40,673","34,300,000","23,021,000","19,121,000",NA,"8,337,000","171,246","253,810","36,402,700",81,"3,681,000","162,171","10,130,000",NA,136,745,"1,593,000",NA,"1,399,000","32,127",58,"2,006,833","10,617,000","32,240,000","4,187","21,839",NA,"217,613","1,784,000","3,681","9,953","3,957,000",NA,"20,040,000",NA,"12,280,000","3,017","59,021,000","15,542,000","519,821","1,170,000","3,548","397,095","27,987,542","872,353",211,"6,019,940","1,274,301","16,993,000","12,260","284,000",NA,786,"8,234,067","5,167,272","60,000",NA,"658,720",NA,"30,780,000","4,209,868","132,934,000","32,095,000",NA
Total Assets,268552,"38,064,000","22,118","88,720,000","13,213,000","10,140,253",261,NA,"20,276,532","136,347,000","1,836,041","4,860,000","53,129,000","860,907","5,112","1,799,321","22,219,500","57,034","6,799","10,477","1,002,221","250,898",NA,"6,273,500","37,752,000","8,340,145",NA,"7,699,439","732,207","21,216","41,478,000","105,325,000","34,087","100,829","10,804,645","1,222,053","178,833,000","11,583,900","3,165,571","22,690,454","9,973,924","323,361","104,521,000","344,783",NA,"96,925,000","10,610","490,040","2,770,859","120,570","256,800,000","1,085,995","15,804,800","32,637,000","28,822,000","170,948","23,619,000","28,817,797",NA,NA,"8,923,700","314,010",NA,"2,102,225",NA,"52,711,000","36,148,000","15,030","12,304,000","51,660,000","68,931,000","49,091,000",NA,"15,253,000","3,100,923","40,265,000","49,725,000","35,546,000","1,016","16,972,000","592,959","491,243","52,014,400","6,600","62,295,000","446,681","46,886,000",NA,"5,225","2,941","36,826,000","3,845","12,353,000","102,374","2,607","9,055,336","44,244,000","39,169,000","26,980","84,717","93,530","873,556","13,276,000","94,156","96,415","10,840,000","5,452","24,464,000",NA,"130,309,000","7,581,981","71,600,000","27,456,000","2,816,830","5,289,900","20,281","1,442,413","32,870,487","1,697,653","11,489","6,882,267","2,612,312","161,636,000","80,003","5,716,000","4,601","1,603","11,810,173","22,210,943","3,736,000",NA,"3,654,946",NA,"60,177,000","6,483,355","377,716,000","48,936,000",NA
Net Debt,268593,"15,519,000","(3,996)","30,034,000","5,787,000","6,751,426",(10),NA,"3,657,766","40,648,000","720,604","5,387,000","15,844,000","326,558","-4,389","-737,006","8,974,800","-2,766","-2,450","6,677","435,345","113,988",NA,"4,248,800","15,845,000","2,377,141",NA,"2,967,208","109,160","-8,011","17,034,000","46,561,000","10,043","51,918","3,203,503","520,723","76,515,000","5,570,500","953,787","3,344,545","1,760,104","-33,896","47,737,000","-8,587",NA,"41,262,000","3,422","166,838","1,086,153","12,569","112,285,000","294,372","2,421,600","8,256,000","6,651,000","-9,060","7,089,000","820,730",NA,"-1,809,430","3,740,300","-31,609",NA,"98,392",NA,"39,634,000","10,388,000","-2,452","2,499,000","13,801,000","31,380,000","19,369,000",NA,"6,557,000","1,008,540","24,079,000","29,619,000","-2,298,000",-989,"5,352,000","-147,200","253,965","46,291,600",348,"5,199,000","-85,498","12,971,000",-658,"-4,915",-258,"21,474,000","-3,657","5,499,000","-26,761","1,654","3,357,591","13,812,000","14,970,000","1,084","2,241","-71,044","126,475","6,086,000","-27,785","-54,717","2,483,000","-3,539","12,625,000",NA,"80,357,000","5,204,929","19,501,000","7,706,000","1,478,225","1,890,900",-537,"221,807","20,821,155","-313,628","-1,491","1,624,558","261,903","30,217,000","-4,832","2,557,000",292,753,"5,004,922","11,111,514","-95,000",NA,"993,620","-1,429","5,910,000","2,775,521","183,850,000","23,935,000",NA
Total Debt,274444,"15,529,000",0,"61,595,000","5,941,000","7,186,131",0,NA,"3,863,320","55,391,000","946,922","6,038,000","16,456,000","376,526",0,"49,126","9,042,200","10,181",0,"7,504","454,183","140,675",NA,"4,422,700","16,520,000","2,394,287",NA,"3,168,795","235,614","2,579","18,503,000","48,459,000","12,450","61,650","3,475,929","657,994","77,059,000","5,803,000","1,147,757","5,471,807","2,299,000","36,345","48,067,000","20,016",NA,"41,784,000","3,764","172,587","1,154,434","21,857","140,908,000","421,483","3,094,400","10,580,000","7,797,000",0,"8,968,000","6,123,859",NA,"6,235","4,113,100","77,342",NA,"311,668",NA,"40,572,000","12,157,000",18,"4,370,000","14,005,000","31,804,000","20,751,000",NA,"7,203,000","1,051,506","27,030,000","33,662,000","9,376,000",0,"6,024,000","89,227","279,942","49,999,700",464,"7,432,000","17,501","16,940,000",101,152,192,"25,387,000",0,"6,521,000","1,666","2,349","3,499,151","16,641,000","15,522,000","1,294","11,133","20,495","446,195","6,357,000","3,795","9,241","3,240,000",0,"13,306,000",NA,"91,577,000","5,304,021","20,666,000","8,303,000","1,509,008","2,215,200",0,"263,682","22,048,026","215,567",193,"1,852,191","426,558","36,110,000","8,310","2,640,000","4,881",764,"5,087,007","11,549,184","843,000",NA,"1,167,657",0,"11,431,000","2,997,041","186,201,000","24,412,000",NA
Total Common Equity,268583,"10,607,000","21,210","5,348,000","444,000","1,448,338",53,NA,"5,530,532.00","-15,508,000.00","531,934.67","-2,659,000.00","25,471,000.00","208,818.95","4,850.31","316,836.09","8,504,300.00","27,856.47","6,462.32","-2,064.76","384,987.00","30,306.94",NA,"704,200.00","9,566,000.00","3,567,296.00",NA,"3,108,597.00","235,438.94","16,258.25","12,326,000.00","26,573,000.00","16,571.18","34,616.00","4,460,561.00","137,664.06","47,298,000.00","4,064,000.00","1,148,178.51","12,112,134.00","6,504,780.53","260,512.82","27,070,000.00","179,596.77",NA,"25,066,000.00","4,520.66","277,162.46","1,123,781.00","79,034.92","42,366,000.00","369,132.00","9,869,900.00","6,690,000.00","11,925,000.00","14,432.26","8,415,000.00","14,444,480.66",NA,"2,444,115.23","2,730,800.00","203,977.59",NA,"742,007.73",NA,"-2,495,000.00","-3,730,000.00","9,572.15","2,117,000.00","25,103,000.00","30,757,000.00","9,411,000.00",NA,"4,456,000.00","1,674,229.00","1,902,000.00","-6,877,000.00","10,302,000.00","1,001.77","3,278,000.00","404,164.80","93,107.51","-5,776,100.00","5,779.13","-2,004,000.00","333,832.76","15,298,000.00","3,306.28","5,039.03","2,499.32","-3,876,000.00","3,230.03","234,000.00","48,914.06","-1,199.28","2,646,304.00","15,136,000.00","12,727,000.00","10,671.39","54,956.62","72,452.00","141,141.89","3,333,000.00","87,834.36","72,247.13","4,791,000.00","5,302.00","7,132,000.00",NA,"-5,875,000.00","1,652,087.14","20,429,000.00","7,950,000.00","969,822.00","1,152,100.00","12,466.99","652,025.16","2,851,618.00","1,338,765.36","7,711.60","3,305,455.00","535,871.45","72,795,000.00","50,172.63","1,640,000.00","-1,174.45",59.42,"3,296,156.00","1,115,341.00","825,000.00",NA,"1,444,171.00","5,222.07","24,977,000.00","2,652,859.00","92,883,000.00","11,750,000.00",NA
Total Equity,268585,"10,736,000","21,354","5,348,000","1,433,000","1,448,338",53,NA,"5,600,180.00","-15,484,000.00","530,412.39","-2,658,000.00","25,473,000.00","300,528.67","4,850.31","327,217.13","8,576,700.00","27,856.47","6,462.32","-2,064.76","384,987.00","47,983.92",NA,"704,200.00","10,356,000.00","3,567,296.00",NA,"3,156,818.00","253,672.32","16,258.25","12,334,000.00","28,356,000.00","16,571.46","34,616.00","4,460,561.00","187,634.72","51,951,000.00","4,082,200.00","1,148,178.51","12,153,588.00","6,504,780.53","257,519.01","41,163,000.00","181,743.21",NA,"25,066,000.00","4,901.00","294,865.92","1,123,781.00","79,034.92","42,197,000.00","366,289.00","9,875,700.00","6,897,000.00","12,207,000.00","14,432.26","8,445,000.00","16,827,466.31",NA,"2,444,589.80","2,758,700.00","203,977.59",NA,"742,007.73",NA,"232,000.00","-3,730,000.00","9,664.61","2,212,000.00","25,102,000.00","32,114,000.00","9,393,000.00",NA,"4,456,000.00","1,674,229.00","5,440,000.00","-6,877,000.00","10,302,000.00","1,001.77","3,278,000.00","413,719.38","106,918.30","-5,776,100.00","5,779.13","-1,472,000.00","403,866.58","15,351,000.00","3,306.28","5,039.03","2,499.32","-3,826,000.00","3,230.03","249,000.00","48,914.06","-1,199.28","2,647,632.00","15,136,000.00","12,727,000.00","10,671.39","58,651.66","72,452.00","157,860.71","3,333,000.00","88,332.04","72,247.13","4,837,000.00","5,302.00","7,132,000.00",NA,"-5,449,000.00","1,987,945.46","30,271,000.00","13,483,000.00","969,822.00","1,154,800.00","12,466.99","642,504.77","3,025,421.00","1,338,792.43","7,711.60","3,305,455.00","553,122.27","74,385,000.00","50,172.63","1,650,000.00","-1,174.45",59.42,"3,423,182.00","1,146,549.00","825,000.00",NA,"1,444,171.00","5,222.07","27,067,000.00","2,702,112.00","94,219,000.00","14,323,000.00",NA
Current Ratio (x),274464,0.75,7.39,3.15,1.11,1.17,1.76,NA,1.62,1.16,1.28,1.41,1.07,1.85,19.12,1.12,0.78,1.48,12.71,1.25,1.35,0.95,NA,0.54,1.00,0.50,NA,1.48,1.80,3.87,1.45,0.75,1.46,34.33,1.32,1.64,0.77,0.77,1.28,1.48,3.47,7.42,1.12,1.85,NA,0.96,1.28,0.92,2.39,0.77,1.20,2.64,0.93,1.17,1.44,1.06,2.14,1.57,NA,NA,1.34,11.05,NA,1.41,NA,1.23,0.69,1.04,1.17,0.39,0.57,0.76,NA,1.40,24.50,1.43,1.17,1.26,70.62,1.12,2.94,0.85,1.47,0.55,0.96,6.98,1.42,NA,84.73,7.13,0.78,6.00,1.22,1.48,0.45,1.54,1.22,0.75,1.58,1.99,NM,1.74,1.23,24.26,5.22,1.86,40.16,1.18,NA,0.60,1.40,1.21,0.96,2.87,1.21,1.69,1.12,0.26,3.59,1.59,0.92,0.71,1.13,2.93,0.97,4.77,0.57,1.40,1.20,1.18,NA,1.78,NA,1.52,1.55,0.75,0.69,NA
Quick Ratio (x),274465,0.36,5.26,2.62,0.68,1.06,0.64,NA,1.05,0.29,1.18,0.66,0.38,0.33,19.12,0.96,0.21,1.36,12.08,1.22,1.24,0.72,NA,0.36,0.62,0.23,NA,1.01,1.12,3.22,1.23,0.37,0.69,34.32,0.69,1.37,0.26,0.64,0.88,1.03,2.50,7.20,0.86,0.78,NA,0.48,0.62,0.71,1.34,0.54,0.99,0.97,0.61,0.77,0.59,0.07,1.34,1.17,NA,NA,0.56,11.05,NA,1.36,NA,0.87,0.33,0.84,0.83,0.20,0.37,0.20,NA,0.19,0.54,1.10,0.19,1.14,68.75,0.16,2.76,0.57,1.25,0.38,0.47,6.14,0.82,NA,84.56,7.13,0.63,5.97,0.86,0.95,0.36,1.38,1.03,0.61,1.39,0.66,NM,1.38,0.45,15.16,5.06,1.11,39.89,0.84,NA,0.49,0.28,0.66,0.85,0.86,0.28,1.19,0.66,0.17,3.39,1.57,0.67,0.47,0.72,2.03,0.87,4.76,0.53,0.65,0.65,0.53,NA,0.56,NA,0.95,0.82,0.54,0.50,NA
Total Debt/Equity (%),274466,144.64,NA,"1,151.74",414.59,496.16,NA,NA,68.99,NM,178.53,NM,64.60,125.29,NA,15.01,105.43,36.55,NA,NM,117.97,293.17,NA,628.05,159.52,67.12,NA,100.38,92.88,15.86,150.02,170.90,75.13,178.10,77.93,350.68,148.33,142.15,99.96,45.02,35.34,14.11,116.77,11.01,NA,166.70,76.80,58.53,102.73,27.66,333.93,115.07,31.33,153.40,63.87,NA,106.19,36.39,NA,0.26,149.10,37.92,NA,42.00,NA,"17,487.93",NM,0.19,197.56,55.79,99.04,220.92,NA,161.65,62.81,496.88,NM,91.01,NA,183.77,21.57,261.83,NM,8.03,NM,4.33,110.35,3.06,3.02,7.68,NM,NA,"2,618.88",3.41,NM,132.16,109.94,121.96,12.13,18.98,28.29,282.65,190.73,4.30,12.79,66.98,NA,186.57,NA,NM,266.81,68.27,61.58,155.60,191.83,NA,41.04,728.76,16.10,2.50,56.03,77.12,48.55,16.56,160.00,NM,"1,286.29",148.61,"1,007.30",102.18,NA,80.85,NA,42.23,110.92,197.63,170.44,NA
