SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Expenditure,272592,"(951,000)","(1,467)","(344,000)","(549,000)","(196,418)",NA,NA,"-20,114.00","-468,000.00","-3,777.84","-88,000.00","-208,000.00","-8,655.56",-13.00,"-8,778.63","-125,400.00",-170.89,-22.88,-246.20,-199.00,-704.22,NA,"-134,700.00","-1,123,000.00","-170,028.00",NA,"-106,875.00","-2,530.00",NA,"-443,000.00","-2,231,000.00",-91.89,-12.40,"-48,375.00",-72.96,"-3,146,000.00","-158,300.00","-45,000.00","-494,784.00","-8,583.55",-164.65,"-853,000.00","-1,486.20",NA,"-1,881,000.00",-151.82,NA,"-14,914.00","-1,908.16","-1,780,000.00","-2,610.00","-24,800.00","-143,000.00","-382,000.00",-1.62,"-268,000.00","-291,089.67",NA,NA,"-53,200.00","-18,196.07",NA,"-3,412.40",NA,"-1,197,000.00","-192,000.00",NA,"-213,000.00","-62,000.00","-507,000.00","-745,000.00",NA,"-221,000.00",-76.00,"-712,000.00","-343,000.00","-1,052,000.00",NA,"-171,000.00","-2,884.46","-5,344.56","-503,000.00",-7.71,"-71,000.00","-1,590.89","-475,000.00",-8.00,NA,-7.13,"-55,000.00",NA,"-54,000.00",-538.58,NA,"-63,346.00","-309,000.00","-428,000.00",-106.95,-222.64,NA,"-3,586.85","-83,000.00",-2.57,-190.61,"-158,000.00",NA,"-289,000.00",NA,"-1,719,000.00",NA,"-1,461,000.00","-122,000.00","-20,266.00","-94,400.00",NA,"-16,021.33","-252,000.00","-62,833.40",-4.20,"-138,284.00","-4,044.40","-520,000.00",-208.55,"-5,000.00",NA,-22.20,"-219,124.00","-167,260.00","-17,000.00",NA,"-29,300.00",NA,"-265,000.00","-270,857.00","-5,958,000.00","-552,000.00",NA
Change in Net Working Capital,272627,"181,000",22,"820,000","553,000","(231,854)",(31),NA,"-17,710.00","734,000.00",853.74,"114,000.00","513,000.00","7,525.27",428.03,"-8,594.07","95,700.00",478.18,NA,-624.33,"8,875.00","-16,328.07",NA,"-58,900.00","-956,000.00","408,339.00",NA,"108,457.00","18,339.83","2,057.23","65,000.00","-177,000.00","-1,151.59",NA,-800.00,"-13,904.28","867,000.00","136,800.00","-3,866.20","289,456.00","-217,378.42","5,551.64","-579,000.00","-1,807.23",NA,"1,076,000.00",782.59,-98.58,"34,123.00","1,927.29","2,972,000.00","49,428.00","73,400.00","-757,000.00","313,000.00",NA,"816,000.00","12,660.74",NA,NA,"-55,600.00","-1,566.41",NA,"139,319.97",NA,"478,000.00","311,000.00","-1,874.73","-3,000.00","446,000.00","92,000.00","601,000.00",NA,"709,000.00","-41,392.00","434,000.00","71,000.00","-869,000.00",-4.24,"58,000.00",-413.78,"-2,604.45","-39,100.00",-80.62,"1,704,000.00","8,312.06","242,000.00",NA,-22.08,"1,451.68","-698,000.00",NA,"458,000.00","-5,413.96",-7.26,"139,131.00","1,219,000.00","-550,000.00",249.55,"12,196.51",-182.41,"-1,297.19","53,000.00","-8,739.08","-3,739.81","554,000.00",157.16,"15,000.00",NA,"-2,907,000.00","23,999.61","92,000.00","-351,000.00","71,940.00","57,100.00",77.45,"106,566.44","-986,126.00","25,312.36",178.96,"123,023.00","114,043.68","2,567,000.00",346.07,"-32,000.00",1.76,-42.10,"-700,015.00","472,125.00","-14,000.00",NA,"172,346.00",NA,"477,000.00","108,298.00","3,603,000.00","130,000.00",NA
Unlevered Free Cash Flow,272626,"(495,625)","(1,691)","1,076,125","(183,875)","273,614",(15),NA,"327,797.00","362,500.00","32,580.74","38,000.00","325,000.00","-13,713.59",-943.25,"23,267.66","146,087.50","1,462.26",NA,493.38,"23,608.63","20,786.01",NA,"47,712.50","487,625.00","132,533.00",NA,"-17,191.75","3,882.18","-3,317.98","801,125.00","-430,375.00","2,016.69",NA,"247,248.63","38,514.93","-1,622,125.00","25,175.00","28,491.20","642,330.25","466,837.87",-743.87,"2,111,375.00","13,534.10",NA,"-1,406,375.00",-722.25,"8,110.99","77,241.75","-1,974.69","-1,804,500.00","-61,274.50","191,550.00","1,217,500.00","-117,000.00",NA,"-232,375.00","265,339.01",NA,NA,"205,412.50","-18,097.62",NA,"-87,479.47",NA,"679,250.00","485,500.00","1,372.79","492,625.00","16,000.00","712,250.00","742,000.00",NA,"-660,750.00","62,455.38","4,230,375.00","2,202,750.00","4,500.00",-20.85,"172,500.00","19,885.26","10,545.61","1,739,225.00",332.04,"-1,014,750.00","-6,811.90","478,750.00",NA,1.89,"-1,127.27","2,506,250.00",NA,"-81,500.00","6,893.21",-81.84,"-89,046.00","-536,625.00","1,158,375.00",185.91,"-10,443.25",-828.50,"13,353.99","-34,625.00","9,822.68","13,748.26","-342,375.00",244.47,"306,750.00",NA,"5,147,125.00",NA,"1,301,125.00","694,375.00","-16,307.75","25,687.50",-74.31,"-99,166.56","1,290,126.00","-46,210.04",-102.91,"260,427.63","-42,508.22","-775,125.00","2,941.79","160,750.00",-6.25,-238.66,"728,964.50","66,890.00","148,750.00",NA,"-82,458.50",NA,"2,459,875.00","-269,234.75","-1,092,875.00","698,500.00",NA
Levered Free Cash Flow,272625,"(572,000)","(1,691)","736,750","(235,750)","222,374",(16),NA,"267,793.25","-43,125.00","22,583.66","-17,625.00","261,250.00","-16,542.93",-947.76,"22,777.49","84,837.50","1,371.79",NA,417.07,"19,237.13","20,017.76",NA,"7,275.00","393,875.00","112,495.00",NA,"-38,679.25","3,361.13","-3,346.24","675,500.00","-729,750.00","1,938.04",NA,"225,864.88","33,828.18","-2,072,125.00","-10,825.00","13,991.20","613,239.00","459,461.38",-989.61,"1,712,000.00","13,379.61",NA,"-1,663,875.00",-752.85,"6,121.04","72,651.13","-2,103.64","-1,999,500.00","-64,402.00","171,487.50","1,126,875.00","-164,500.00",NA,"-306,125.00","209,612.99",NA,NA,"176,475.00","-20,215.40",NA,"-88,950.33",NA,"388,875.00","396,125.00","1,372.79","480,125.00","1,625.00","434,125.00","631,375.00",NA,"-703,250.00","62,455.38","4,056,750.00","2,049,625.00","-33,000.00",-20.85,"145,125.00","19,460.93","8,693.45","1,532,975.00",331.64,"-1,042,875.00","-6,987.98","401,875.00",NA,-0.01,"-1,129.28","2,363,750.00",NA,"-120,875.00","6,866.40",-81.84,"-121,979.13","-617,250.00","1,049,000.00",185.91,"-10,551.66",-998.66,"11,258.40","-77,125.00","9,761.10","13,698.73","-356,125.00",244.47,"203,000.00",NA,"4,655,250.00",NA,"1,152,375.00","633,125.00","-27,860.25","8,000.00",-74.31,"-102,096.93","1,103,251.00","-47,911.39",-102.91,"241,611.38","-55,625.31","-987,000.00","2,892.41","145,875.00",-62.14,-260.81,"680,630.75","-5,268.75","144,375.00",NA,"-91,271.00",NA,"2,368,625.00","-272,905.38","-1,847,250.00","514,750.00",NA
Cash from Ops. to Curr. Liab. (x),274482,0.72,NM,0.30,0.55,1.06,1.67,NA,0.09,NM,1.00,0.21,0.21,NM,NM,0.16,0.25,0.34,NM,0.47,1.05,0.08,NA,1.24,2.18,1.41,NA,0.45,0.13,NM,2.16,0.66,1.29,13.18,0.39,NM,0.37,0.34,NM,2.50,0.28,0.17,1.32,0.41,NA,0.24,NM,2.35,2.18,0.24,0.12,NM,0.27,0.23,NM,NM,0.09,0.31,NA,NA,0.19,NM,NA,0.10,NA,0.65,NM,0.79,0.09,0.03,1.12,0.27,NA,NM,2.58,3.88,0.55,0.25,NM,0.18,1.17,0.47,2.09,NM,NM,0.27,0.48,NA,NM,NM,1.31,NM,NM,0.37,NM,NM,NM,1.66,0.16,NM,25.18,0.20,NM,6.65,3.17,NM,5.13,2.24,NA,0.74,NA,1.71,0.55,NM,0.22,NM,NM,0.56,1.06,0.65,2.51,0.07,NM,0.65,0.35,NM,NM,NM,0.07,NM,NA,NM,NA,0.83,0.22,0.69,1.51,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.73,(10.47),6.72,16.79,4.39,(72.47),NA,5.02,0.97,4.93,12.86,2.94,0.22,-32.11,3.38,4.50,9.99,NA,-0.66,3.09,5.17,NA,4.80,3.52,28.34,NA,5.63,9.85,-24.89,8.66,3.12,8.15,8.12,7.54,5.27,2.35,4.44,3.25,18.06,5.86,6.00,4.91,10.59,NA,2.87,5.35,6.46,12.99,-1.17,1.91,-5.36,3.79,5.62,2.54,-2.92,10.42,4.19,NA,NA,0.78,-1.64,NA,6.14,NA,11.57,6.56,-24.41,-1.69,2.78,4.29,7.78,NA,1.35,2.26,49.01,17.50,-2.00,-9.69,6.31,5.12,3.14,12.99,-2.92,4.08,1.53,5.05,NA,-2.25,40.78,19.64,NA,8.82,5.36,-11.67,-1.93,6.13,7.22,6.73,5.58,-3.96,2.34,0.28,3.36,41.31,8.55,29.90,7.35,NA,5.82,0.27,6.29,2.88,5.02,7.67,0.06,3.01,2.04,3.86,-1.41,24.12,6.58,3.32,14.51,5.85,-0.52,-69.36,4.23,8.35,12.12,NA,9.51,NA,16.78,-2.20,5.02,7.05,NA
Return on Capital,274474,3.99,(10.86),9.38,30.86,5.04,(172.87),NA,11.03,3.22,6.13,17.78,3.72,0.28,-34.65,16.27,5.63,15.09,NA,-1.20,3.63,6.42,NA,5.82,4.99,42.21,NA,6.89,14.77,-28.11,11.62,4.48,9.33,NA,10.16,7.52,3.28,5.23,4.52,23.69,6.61,6.64,5.75,17.60,NA,4.19,6.80,6.76,15.85,-1.41,2.67,-7.74,4.61,9.47,3.69,NA,14.17,5.23,NA,6.01,1.04,-1.79,NA,12.62,NA,15.04,27.57,-36.90,-3.15,3.69,4.65,12.72,NA,1.77,2.56,66.29,32.14,-3.57,-9.86,11.10,6.04,4.02,15.29,-3.10,43.53,1.63,7.36,26.81,-2.26,45.27,32.70,NA,16.50,10.81,-26.62,-2.86,8.69,9.87,15.14,6.98,-3.99,3.39,0.39,3.54,48.04,11.59,31.28,8.84,NA,8.93,0.28,8.91,3.61,5.76,12.13,0.10,4.81,2.62,4.25,-1.86,32.70,19.06,4.88,20.25,7.67,-0.71,-108.66,5.92,14.51,29.05,NA,13.62,2.00,26.52,-2.52,6.87,9.04,NA
Return on Equity,274475,9.92,(19.87),252.28,93.88,15.67,(309.08),NA,19.65,10.85,20.20,-29.70,8.02,-6.31,-57.57,32.47,-3.56,24.38,NA,31.54,11.94,33.12,NA,99.20,12.75,87.20,NA,13.46,34.51,-34.51,31.22,10.00,19.78,24.34,20.91,-5.31,7.48,11.27,3.50,41.74,3.88,5.27,14.06,23.88,NA,10.75,7.82,15.13,37.21,-2.62,15.59,-42.83,7.10,18.58,6.24,-30.20,31.91,8.86,NA,12.84,-3.09,-6.19,NA,18.25,NA,"7,763.52",-55.54,-48.07,-40.62,7.44,8.76,28.31,NA,1.23,6.50,977.04,-159.62,-6.06,-15.77,33.16,9.43,6.96,-122.38,-26.26,-197.79,2.60,17.72,37.16,-4.02,59.47,-184.49,NA,587.37,14.07,65.33,-11.96,22.12,14.64,27.82,10.39,-4.83,17.93,-11.91,4.41,56.61,32.31,49.00,61.59,NA,-110.40,19.02,16.74,14.08,12.54,40.28,0.59,6.45,-6.51,8.02,-4.46,62.31,10.61,7.97,20.56,18.05,-391.24,-416.50,5.74,145.45,65.50,NA,30.59,5.60,47.91,-5.73,21.50,26.99,NA
Return on Common Equity,274476,10.00,(19.94),252.28,223.30,14.68,(309.08),NA,19.77,10.55,20.04,-29.69,7.66,-8.25,-57.57,32.42,-3.59,24.38,NA,31.54,11.94,42.18,NA,99.20,13.31,87.20,NA,13.56,35.15,-34.51,31.24,10.37,19.78,24.34,20.91,-8.34,8.32,11.21,3.50,41.87,3.88,5.60,14.85,24.01,NA,10.75,6.85,15.50,37.21,-2.62,16.42,-42.59,7.10,9.42,5.88,-30.20,31.83,8.36,NA,12.84,-3.18,-6.19,NA,18.25,NA,-207.22,-55.54,-48.54,-42.24,7.44,8.78,27.86,NA,1.23,6.50,"-4,074.23",-159.07,-6.06,-15.77,33.16,9.56,6.94,-122.38,-26.26,-143.31,2.32,17.64,37.16,-4.02,59.47,-181.83,NA,635.43,14.07,65.33,-11.97,22.12,14.61,27.82,3.79,-4.83,18.32,-11.91,4.52,56.61,32.71,49.00,61.59,NA,-102.39,23.05,19.18,18.38,12.54,40.30,0.59,8.26,-6.71,8.03,-4.46,60.86,10.59,7.84,20.56,17.92,-391.24,-416.50,5.78,149.13,65.50,NA,30.59,5.60,50.39,-5.92,21.34,31.93,NA
Gross Profit Margin,274477,40.08,NA,71.83,68.88,93.13,42.06,NA,12.75,13.55,33.04,46.14,46.51,32.92,100.00,8.98,24.80,20.90,20.68,36.36,67.74,11.76,NA,30.74,35.98,69.13,NA,36.99,42.57,69.59,49.65,51.20,36.71,83.45,36.10,93.99,45.23,55.42,19.51,70.09,69.42,37.50,17.69,57.64,NA,41.72,34.49,66.48,26.87,40.06,11.16,51.07,58.07,40.17,31.56,51.09,18.16,54.42,NA,69.95,52.37,NA,NA,16.98,NA,39.02,20.20,NA,14.25,52.01,52.32,21.63,NA,42.40,20.69,115.31,34.03,17.23,NA,41.94,65.58,47.89,56.19,141.01,4.50,52.07,38.42,44.10,58.93,66.21,69.89,NA,48.46,28.39,19.81,8.81,21.34,46.23,80.32,30.21,100.00,16.22,26.98,100.00,62.98,25.61,100.00,25.97,NA,73.46,65.14,62.52,5.36,21.58,22.13,71.62,5.55,41.30,18.46,62.11,53.62,12.23,20.73,49.72,11.32,NA,43.27,21.40,18.23,25.36,NA,34.48,11.32,14.16,27.35,58.97,58.45,NA
Net Income Margin,274478,13.26,NA,46.54,12.25,11.94,(57.41),NA,3.13,-2.31,15.35,10.69,11.10,-25.68,-245.22,5.48,-2.67,7.23,9.34,-6.16,6.87,3.13,NA,27.83,11.70,138.29,NA,10.02,11.52,-82.89,26.28,25.26,11.27,22.76,10.99,-2.71,11.05,8.63,1.64,67.07,10.76,12.50,5.85,13.63,NA,12.03,1.76,66.64,18.71,-3.14,4.24,-12.70,11.89,4.02,5.54,-57.16,11.47,8.61,NA,17.12,-2.21,NA,NA,1.74,NA,8.74,3.40,NA,-5.83,13.93,17.46,1.49,NA,0.38,5.53,75.97,9.86,-2.79,NA,5.14,7.85,1.37,30.55,NM,1.14,10.29,16.12,19.69,-236.24,36.89,37.52,NA,12.81,6.59,-34.23,-3.12,9.05,14.88,30.11,11.16,84.28,2.81,-5.65,3.33,29.79,16.43,80.96,23.20,NA,13.53,617.68,17.48,3.42,3.35,5.16,18.78,2.76,-1.66,13.35,-3.30,58.83,1.35,8.28,8.30,3.66,NA,-123.25,2.86,2.43,10.51,NA,9.31,2.98,8.76,-3.75,14.92,36.00,NA
Earnings from Cont Ops Margin,274479,13.31,NA,46.54,16.50,12.74,(57.41),NA,3,-2,15,11,11,-28,-245,6,-3,7,9,-6,7,4,NA,28,12,138,NA,10,12,-83,26,18,11,23,11,-2,13,9,2,67,11,15,8,14,NA,12,2,69,19,-3,4,-13,12,8,6,-57,12,11,NA,17,-2,NA,NA,2,NA,10,3,NA,-6,14,18,1,NA,0,6,90,10,-3,NA,5,8,2,31,NM,1,14,11,20,-236,37,38,NA,13,7,-34,-3,9,15,30,11,84,3,-6,3,30,16,81,23,NA,14,NM,17,4,3,5,19,2,-2,13,-3,59,1,9,8,4,NA,-123,3,2,11,NA,9,3,9,-7,15,37,NA
EBITDA Margin,274480,39.38,NA,48.63,63.26,60.71,(56.85),NA,5,6,30,23,26,16,-234,7,17,13,NA,4,22,7,NA,28,31,206,NA,24,21,-115,50,54,19,NA,19,38,41,27,14,112,58,37,16,21,NA,32,7,79,31,9,9,-6,24,18,20,NA,21,21,NA,18,8,NA,NA,3,NA,20,9,NA,4,23,45,5,NA,8,6,116,16,1,NA,12,22,14,53,240,2,21,23,25,-181,50,62,NA,25,11,NA,3,15,46,34,20,NA,9,5,5,47,21,NA,19,NA,35,56,49,5,10,10,NA,6,22,20,6,91,10,18,17,9,NA,-107,20,5,15,NA,14,NA,13,10,36,73,NA
EBIT Margin,274481,20.84,NA,33.89,44.79,36.96,(57.03),NA,4.835,2.969,21.596,19.31,13.607,4.4,-236.16,5.276,13.838,9.949,7.939,-0.99,7.499,5.351,NA,21.394,19.323,185.959,NA,16.726,16.092,-123.987,38.991,33.814,15.46,NA,15.749,23.456,23.021,15.776,6.721,90.159,39.462,34.252,10.861,17.996,NA,19.863,4.924,78.656,24.768,-3.428,4.716,-7.658,16.458,14.362,9.314,NA,17.21,13.943,NA,12.848,2.847,NA,NA,2.534,NA,15.612,7.102,NA,-2.029,17.179,30.71,3.426,NA,2.207,5.763,111.715,13.957,-4.977,NA,7.835,9.908,5.177,45.117,-80.995,1.528,14.531,15.557,23.424,-219.293,48.85,60.844,NA,20.451,8.4,-28.43,-2.741,11.601,35.983,30.034,14.184,142.022,3.641,0.831,4.4,45.947,15.83,82.689,15.881,NA,24.369,55.23,25.093,2.585,6.248,7.334,5.201,3.242,9.425,13.188,-2.27,79.623,6.381,12.379,15.323,6.713,NA,-113.525,13.185,3.87,13.965,NA,11.934,1.705,11.614,-9.849,23.083,53.282,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Share Information ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends per Share,271522,0.63,NA,2.13,0.25,0.09,NA,NA,NA,NA,NA,0.2,0.91,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,0.11,0.668,NA,NA,0.505,NA,1.005,0.39,NA,0.15,NA,0.16738263,0.308,0.139914435,NA,0.36,NA,0.022512641,0.25,NA,0.15,NA,0.07,0.03,0.28,NA,0.16,NA,NA,NA,0.7,NA,NA,0.005883445,NA,0.6,0.263,NA,NA,0.2,0.283,0.21,NA,0.5,NA,0.395,0.8,0.18,NA,0.158,NA,NA,1.52,NA,0.47,NA,1.5,0.002682311,NA,NA,0.94,NA,0.88,0.012254318,NA,NA,1.73,1.35,NA,0,0.008881527,NA,0.23,NA,0.037575693,0.52,NA,0.955,NA,0.32,NA,0.18,0.268,0.3,0.65,NA,NA,NA,NA,NA,0.08,NA,0.55,NA,0.37,NA,NA,0.62,0.49,NA,NA,0.34,NA,1.02,NA,0.653,0.448,NA
Basic EPS Excl. Extra Items,271515,1.01,(0.00),5.32,0.78,0.05,(0.02),NA,4.661,-0.687,0.012291469,0.646,1.712,-0.002250829,-0.004099166,0.948770245,-0.161,0.228267065,0.005899545,-0.001478744,0.173,0.000198936,NA,2.068,0.497,4.217,NA,2.018,0.203859331,-0.021179027,0.474,0.814,0.002358076,0.115877935,1.636,-0.160941577,1.279,0.917,0.081,3.371,0.054720136,0.134589299,0.324,0.14146904,NA,0.672,0.000455701,0.032656418,2.765,-0.000683194,0.44,-0.796,0.491,0.416,0.209,-0.009569744,0.72,3.325052976,NA,0.120128084,-0.159,-0.02937736,NA,0.024710468,NA,4.922,0.474,-0.003696861,-1.11,0.332,0.3,0.91,NA,0.11,1.153,22.28,3.523,-0.268,-0.002331907,1.008,0.010405009,NA,2.465,-0.006151968,5.312,0.012591173,1.198,0.001355894,-0.001478744,0.001149382,0.999,-0.016306944,1.661,0.106612565,-0.001367106,-1.046,5.518,2.042,0.212733966,0.029182587,-0.006831944,0.159868633,-0.246,0.043671401,0.043041248,4.195,0.005175605,2.341,NA,0.577,0.068668406,1.084,0.517,0.932,1.976,NA,0.015795407,-0.188,0.032482492,-0.000657581,1.976,0.001,0.975,0.293726925,1.301,0.016266187,-0.002049583,0.673,0.917,2.183,NA,1.023,0.012244739,8.285,-0.522,1.167,0.759,NA
Basic EPS,271514,1.01,(0.00),5.32,0.78,0.05,(0.02),NA,4.661,-0.687,0.012291469,0.646,1.712,-0.002250829,-0.004099166,0.948770245,-0.161,0.228267065,0.005899545,-0.001478744,0.173,0.000198936,NA,2.068,0.497,4.217,NA,2.018,0.203859331,-0.021179027,0.474,1.151,0.002358076,0.115877935,1.636,-0.160941577,1.008,0.917,0.081,3.371,0.054720136,0.106578328,0.324,0.14146904,NA,0.672,0.000455701,0.032656418,2.765,-0.000683194,0.44,-0.796,0.491,0.416,0.209,-0.009569744,0.72,3.325052976,NA,0.120128084,-0.159,-0.02937736,NA,0.024710468,NA,4.922,0.474,-0.003696861,-1.11,0.332,0.3,0.91,NA,0.11,1.153,22.28,3.523,-0.268,-0.002331907,1.008,0.010405009,NA,2.465,-0.006151968,5.326,0.012591173,1.766,0.001355894,-0.001478744,0.001149382,0.999,-0.016306944,1.661,0.106612565,-0.001367106,-1.046,5.518,2.042,0.212733966,0.029182587,-0.006831944,0.159868633,-0.246,0.043671401,0.043041248,4.195,0.005175605,2.341,NA,0.577,0.068668406,1.084,0.517,0.932,1.976,NA,0.016911068,-0.188,0.032482492,-0.000657581,1.976,0.001,0.975,0.293726925,1.301,0.016266187,-0.002049583,0.673,0.917,2.183,NA,1.023,0.012244739,8.285,-0.288,1.167,0.759,NA
Diluted EPS Excl. Extra Items,271518,1.00,(0.00),5.28,0.78,0.05,(0.02),NA,4.6,-0.69,0.012291469,0.64,1.7,-0.002250829,-0.004099166,0.948770245,-0.161,0.227979696,0.005899545,-0.001478744,0.17,0.000198936,NA,2.05,0.49,3.611,NA,2.01,0.203859331,-0.021179027,0.47,0.81,0.002358076,0.115877935,1.63,-0.160941577,1.279,0.91,0.08,3.098,0.054720136,0.134589299,0.32,0.139914435,NA,0.67,0.000455701,0.032132868,2.75,-0.000683194,0.44,-0.8,0.49,0.41,0.2,-0.009569744,0.72,3.325052976,NA,0.120128084,-0.16,-0.02937736,NA,0.023533779,NA,4.85,0.47,-0.003696861,-1.11,0.33,0.3,0.9,NA,0.11,1.14,22.113,3.51,-0.27,-0.002331907,0.98,0.010405009,NA,2.45,-0.006151968,5.25,0.012591173,1.195,0.001355894,-0.001478744,0.001149382,0.999,-0.016306944,1.61,0.10293627,-0.001367106,-1.05,5.5,2.041,0.212733966,0.029182587,-0.006831944,0.159868633,-0.25,0.043614905,0.043041248,4.17,0.005175605,2.34,NA,0.56,0.068668406,1,0.517,0.898,1.95,NA,0.015736688,-0.19,0.032482492,-0.000657581,1.953,0.001,0.97,0.288506335,1.29,0.016266187,-0.002049583,0.67,0.91,2.17,NA,1.01,0.012244739,8.285,-0.522,1.167,0.759,NA
Diluted EPS Incl. Extra Items,271517,1.00,(0.00),5.28,0.78,0.05,(0.02),NA,4.6,-0.69,0.012291469,0.64,1.7,-0.002250829,-0.004099166,0.948770245,-0.161,0.227979696,0.005899545,-0.001478744,0.17,0.000198936,NA,2.05,0.49,3.611,NA,2.01,0.203859331,-0.021179027,0.47,1.146,0.002358076,0.115877935,1.63,-0.160941577,1.008,0.91,0.08,3.098,0.054720136,0.106578328,0.32,0.139914435,NA,0.67,0.000455701,0.032132868,2.75,-0.000683194,0.44,-0.8,0.49,0.41,0.2,-0.009569744,0.72,3.325052976,NA,0.120128084,-0.16,-0.02937736,NA,0.023533779,NA,4.85,0.47,-0.003696861,-1.11,0.33,0.3,0.9,NA,0.11,1.14,22.113,3.51,-0.27,-0.002331907,0.98,0.010405009,NA,2.45,-0.006151968,5.264,0.012591173,1.763,0.001355894,-0.001478744,0.001149382,0.999,-0.016306944,1.61,0.10293627,-0.001367106,-1.05,5.5,2.041,0.212733966,0.029182587,-0.006831944,0.159868633,-0.25,0.043614905,0.043041248,4.17,0.005175605,2.34,NA,0.56,0.068668406,1,0.517,0.898,1.95,NA,0.01679363,-0.19,0.032482492,-0.000657581,1.953,0.001,0.97,0.288506335,1.29,0.016266187,-0.002049583,0.67,0.91,2.17,NA,1.01,0.012244739,8.285,-0.288,1.167,0.759,NA
Weighted Avg. Basic Shares Out. (actual),271516,"262,200,000","516,281,875","534,000,000","312,000,000","1,179,894,000","3,250,000",NA,58731000,602200000,2100000000,240000000,283887000,1957258000,211189743,25530098,480600000,7167602,13763848,110233610,66530000,15000000000,NA,75300000,630309000,168452107,NA,51097000,97600000,77020730,2054000000,835200000,342196217,17362500,139757000,18293333,770000000,122600000,123739020,361462000,1186381075,24492000,3095500000,76228014,NA,995000000,157730000,332290686,37982580,769047619,3990000000,51840000,353600000,454000000,844000000,129499299,904000000,88727000,NA,668614555,138600000,108172940,NA,1622300000,NA,276910000,989000000,353372030,225300000,1406200000,2247000000,722000000,NA,127000000,23381294,243900000,660000000,594000000,15184295,283600000,920878000,NA,730900000,63853170,144200000,158218286,552700000,228467360,45657952,311302000,1786000000,92146274,167400000,15949691,135726486,76984000,152600000,227700000,3400260,17576662,141919191,39146158,413900000,21513366,243846903,91300000,111490931,448100000,NA,2685000000,1314508000,901200000,698000000,32386500,57400000,NA,889871000,255000000,828750000,121360225,238019000,26559205726,1462200000,8183000,56100000,139740857,262969400,68265000,507578576,60000000,NA,104500000,5945426,369000000,74863000,4207000000,1219465000,NA
Weighted Avg. Diluted Shares Out. (actual),271519,"263,100,000","516,281,875","538,000,000","312,000,000","1,182,007,000","3,250,000",NA,59479000,602200000,2100000000,243000000,285340000,1957258000,211189743,25530098,480600000,7167602,13763848,110233610,67747000,15000000000,NA,76100000,633051000,197144874,NA,51428000,97600000,77020730,2059000000,835500000,342196217,17362500,140616000,18293333,770000000,123500000,123991589,393883000,1186835895,24551000,3115400000,76408281,NA,996000000,157730000,338115686,38222949,769047619,4029000000,51840000,356500000,457000000,859000000,129499299,907000000,88727000,NA,668614555,138600000,108172940,NA,1632900000,NA,280961000,996000000,353372030,225300000,1417000000,2247000000,733000000,NA,129000000,23629779,245800000,662000000,594000000,15184295,290900000,920878000,NA,735500000,63853170,145900000,158218286,552700000,228467360,45657952,311302000,1786000000,92146274,172600000,16536908,135726486,76984000,153200000,228300000,3400260,17576662,141919191,39146158,413900000,21513366,244069699,91900000,111490931,449000000,NA,2747000000,1314508000,975300000,698000000,33768000,58100000,NA,895260000,255000000,828750000,121360225,240882000,26559205726,1474200000,8183000,56600000,139740857,262969400,68419000,510383149,60000000,NA,105600000,5945426,369000000,74863000,4211000000,1225781000,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
